日付,始値,高値,安値,終値
2013-03-15,12437.68,12560.95,12434.47,12560.95
2013-03-14,12332.16,12395.73,12248.65,12381.19
2013-03-13,12252.29,12339.45,12234.48,12239.66
2013-03-12,12433.60,12461.97,12314.81,12314.81
2013-03-11,12363.09,12403.95,12300.83,12349.05
2013-03-08,12066.50,12283.62,12065.09,12283.62
2013-03-07,12037.25,12069.60,11946.01,11968.08
2013-03-06,11811.06,11933.82,11803.09,11932.27
2013-03-05,11732.57,11779.42,11666.38,11683.45
2013-03-04,11695.45,11767.68,11613.59,11652.29
2013-03-01,11464.71,11648.63,11464.71,11606.38
2013-02-28,11396.73,11563.75,11392.56,11559.36
2013-02-27,11418.56,11419.62,11253.97,11253.97
2013-02-26,11449.66,11520.24,11374.83,11398.81
2013-02-25,11564.55,11662.52,11562.10,11662.52
2013-02-22,11238.75,11390.65,11175.67,11385.94
2013-02-21,11404.73,11442.11,11301.77,11309.13
2013-02-20,11485.65,11510.52,11440.10,11468.28
2013-02-19,11336.45,11412.86,11336.45,11372.34
2013-02-18,11318.22,11445.46,11308.83,11407.87
2013-02-15,11239.21,11261.58,11065.06,11173.83
2013-02-14,11273.40,11356.54,11243.49,11307.28
2013-02-13,11333.72,11365.27,11196.66,11251.41
2013-02-12,11346.72,11460.64,11343.44,11369.12
2013-02-08,11179.97,11299.71,11135.89,11153.16
2013-02-07,11406.32,11446.81,11295.62,11357.07
2013-02-06,11236.70,11498.42,11232.05,11463.75
2013-02-05,11105.24,11170.85,11046.92,11046.92
2013-02-04,11254.16,11285.49,11194.74,11260.35
2013-02-01,11193.72,11237.84,11142.26,11191.34
2013-01-31,11057.50,11145.38,11007.77,11138.66
2013-01-30,10913.97,11113.95,10905.64,11113.95
2013-01-29,10751.01,10937.63,10751.01,10866.72
2013-01-28,11002.86,11002.86,10824.31,10824.31
2013-01-25,10797.30,10926.65,10790.95,10926.65
2013-01-24,10441.11,10634.74,10441.11,10620.87
2013-01-23,10575.60,10663.09,10486.99,10486.99
2013-01-22,10765.10,10859.42,10615.20,10709.93
2013-01-21,10941.45,10941.45,10747.74,10747.74
2013-01-18,10791.97,10913.30,10787.12,10913.30
2013-01-17,10660.94,10694.85,10432.97,10609.64
2013-01-16,10806.41,10806.41,10591.30,10600.44
2013-01-15,10914.65,10952.31,10851.66,10879.08
2013-01-11,10786.14,10830.43,10748.06,10801.57
2013-01-10,10635.11,10686.12,10619.65,10652.64
2013-01-09,10405.67,10620.70,10398.61,10578.57
2013-01-08,10544.21,10602.12,10463.43,10508.06
2013-01-07,10743.69,10743.69,10589.70,10599.01
